participant	task	session	sequenceNumber	stimulus	response	reactionTime	interstimulusInterval	stepA	stepB	correctResponse	wasResponsecorrect
7	discrimination	1	78	"step5,silence1000,step7"	same	1.696479947	1000	step5	step7	different	no
7	discrimination	1	79	"step5,silence2000,step3"	different	1.420443947	2000	step5	step3	different	yes
7	discrimination	1	80	"step5,silence2000,step5"	different	0.832130057	2000	step5	step5	same	no
7	discrimination	1	81	"step5,silence2000,step7"	same	1.004109085	2000	step5	step7	different	no
7	discrimination	1	82	"step5,silence250,step3"	different	0.791535037	250	step5	step3	different	yes
7	discrimination	1	83	"step5,silence250,step5"	same	0.927605022	250	step5	step5	same	yes
7	discrimination	1	84	"step5,silence250,step7"	different	1.888067983	250	step5	step7	different	yes
7	discrimination	1	85	"step5,silence500,step3"	different	0.994015	500	step5	step3	different	yes
7	discrimination	1	86	"step5,silence500,step5"	different	0.885115951	500	step5	step5	same	no
7	discrimination	1	87	"step5,silence500,step7"	different	3.075402953	500	step5	step7	different	yes
7	discrimination	1	88	"step5,step3"	different	1.378446009	0	step5	step3	different	yes
7	discrimination	1	89	"step5,step5"	same	0.802194003	0	step5	step5	same	yes
7	discrimination	1	90	"step5,step7"	same	1.984169937	0	step5	step7	different	no
7	discrimination	1	91	"step7,silence1000,step5"	different	1.171334017	1000	step7	step5	different	yes
7	discrimination	1	92	"step7,silence1000,step7"	same	0.664121098	1000	step7	step7	same	yes
7	discrimination	1	93	"step7,silence2000,step5"	different	0.788783043	2000	step7	step5	different	yes
7	discrimination	1	94	"step7,silence2000,step7"	same	0.910545057	2000	step7	step7	same	yes
7	discrimination	1	95	"step7,silence250,step5"	different	0.741234091	250	step7	step5	different	yes
7	discrimination	1	96	"step7,silence250,step7"	same	0.39067509	250	step7	step7	same	yes
7	discrimination	1	97	"step7,silence500,step5"	different	0.826950023	500	step7	step5	different	yes
7	discrimination	1	98	"step7,silence500,step7"	same	0.865535091	500	step7	step7	same	yes
7	discrimination	1	99	"step7,step5"	different	0.86496789	0	step7	step5	different	yes
7	discrimination	1	100	"step7,step7"	same	0.541605055	0	step7	step7	same	yes
7	identification	1	1	step1	i	0.473525098	NA	NA	NA	NA	NA
7	identification	1	2	step2	i	7.223529892	NA	NA	NA	NA	NA
7	identification	1	3	step3	i	0.720517007	NA	NA	NA	NA	NA
7	identification	1	4	step4	i	0.765889915	NA	NA	NA	NA	NA
7	identification	1	5	step5	_	1.27424301	NA	NA	NA	NA	NA
7	identification	1	6	step6	i	0.762699099	NA	NA	NA	NA	NA
7	identification	1	7	step7	_	1.090776057	NA	NA	NA	NA	NA
7	identification	1	8	step1	i	0.490847012	NA	NA	NA	NA	NA
7	identification	1	9	step2	i	0.633492997	NA	NA	NA	NA	NA
7	identification	1	10	step3	i	0.62052695	NA	NA	NA	NA	NA
7	identification	1	11	step4	i	0.860604889	NA	NA	NA	NA	NA
7	identification	1	12	step5	_	1.957006979	NA	NA	NA	NA	NA
7	identification	1	13	step6	_	0.342899039	NA	NA	NA	NA	NA
7	identification	1	14	step7	_	0.549026004	NA	NA	NA	NA	NA
7	identification	1	15	step1	i	0.592170959	NA	NA	NA	NA	NA
7	identification	1	16	step2	i	0.493103922	NA	NA	NA	NA	NA
7	identification	1	17	step3	i	0.36921511	NA	NA	NA	NA	NA
7	identification	1	18	step4	i	0.740641059	NA	NA	NA	NA	NA
7	identification	1	19	step5	i	0.628482022	NA	NA	NA	NA	NA
7	identification	1	20	step6	_	0.426836065	NA	NA	NA	NA	NA
7	identification	1	21	step7	_	0.633925983	NA	NA	NA	NA	NA
7	identification	1	22	step1	i	0.430440994	NA	NA	NA	NA	NA
7	identification	1	23	step2	i	0.431556893	NA	NA	NA	NA	NA
7	identification	1	24	step3	i	0.374334913	NA	NA	NA	NA	NA
